;simulated;real;error
2019-01-01 00:00:00;0.0;28.32;-28.32
2019-01-01 01:00:00;0.0;10.07;-10.07
2019-01-01 02:00:00;0.0;-4.08;4.08
2019-01-01 03:00:00;0.0;-9.91;9.91
2019-01-01 04:00:00;0.0;-7.41;7.41
2019-01-01 05:00:00;0.0;-12.55;12.55
2019-01-01 06:00:00;0.0;-17.25;17.25
2019-01-01 07:00:00;0.0;-15.07;15.07
2019-01-01 08:00:00;0.0;-4.93;4.93
2019-01-01 09:00:00;0.0;-6.33;6.33
2019-01-01 10:00:00;0.0;-4.93;4.93
2019-01-01 11:00:00;0.0;0.45;-0.45
2019-01-01 12:00:00;0.0;0.12;-0.12
2019-01-01 13:00:00;0.0;-0.02;0.02
2019-01-01 14:00:00;0.2636065777741265;0.0;0.2636065777741265
2019-01-01 15:00:00;0.2566763560270169;-0.03;0.2866763560270169
2019-01-01 16:00:00;0.2636065777741265;1.97;-1.7063934222258734
2019-01-01 17:00:00;5.429760663759215;9.06;-3.630239336240786
2019-01-01 18:00:00;3.7026829216848816;0.07;3.6326829216848817
2019-01-01 19:00:00;3.7026829216848816;-4.97;8.672682921684881
2019-01-01 20:00:00;0.0;-6.98;6.98
2019-01-01 21:00:00;0.0;-24.93;24.93
2019-01-01 22:00:00;0.0;-4.87;4.87
2019-01-01 23:00:00;0.0;-28.93;28.93
2019-01-02 00:00:00;0.0;-33.57;33.57
2019-01-02 01:00:00;0.0;-45.92;45.92
2019-01-02 02:00:00;0.0;-48.29;48.29
2019-01-02 03:00:00;1.2;-44.99;46.190000000000005
2019-01-02 04:00:00;1.9806742371960129;-48.93;50.91067423719601
2019-01-02 05:00:00;1.9806742371960129;-29.91;31.890674237196013
2019-01-02 06:00:00;7.162039957939051;-0.01;7.172039957939051
2019-01-02 07:00:00;30.22477432782365;37.43;-7.205225672176351
2019-01-02 08:00:00;33.78021609520077;48.06;-14.279783904799231
2019-01-02 09:00:00;35.10741321778994;50.74;-15.632586782210062
2019-01-02 10:00:00;34.309844256322;47.57;-13.260155743677998
2019-01-02 11:00:00;34.23929639832321;43.94;-9.700703601676786
2019-01-02 12:00:00;33.87676565701452;40.97;-7.093234342985475
2019-01-02 13:00:00;34.701008923494456;44.95;-10.248991076505547
2019-01-02 14:00:00;36.30390754931472;49.64;-13.336092450685278
2019-01-02 15:00:00;37.90972066170952;53.67;-15.76027933829048
2019-01-02 16:00:00;43.19057103422121;56.01;-12.81942896577879
2019-01-02 17:00:00;45.24747604276349;56.95;-11.702523957236515
2019-01-02 18:00:00;46.39959318349455;62.08;-15.680406816505446
2019-01-02 19:00:00;46.90336311746551;62.11;-15.20663688253449
2019-01-02 20:00:00;45.88507427508949;57.99;-12.104925724910515
2019-01-02 21:00:00;43.15350970659323;55.64;-12.486490293406767
2019-01-02 22:00:00;43.59729171250478;55.13;-11.532708287495225
2019-01-02 23:00:00;42.36019180579885;50.76;-8.39980819420115
2019-01-03 00:00:00;40.73644439026076;42.91;-2.173555609739239
2019-01-03 01:00:00;39.42408308806978;45.22;-5.79591691193022
2019-01-03 02:00:00;39.90697802386877;45.63;-5.7230219761312355
2019-01-03 03:00:00;38.70918928881083;44.0;-5.290810711189167
2019-01-03 04:00:00;38.459229397816245;43.88;-5.420770602183758
2019-01-03 05:00:00;42.850384279640274;45.92;-3.069615720359728
2019-01-03 06:00:00;48.98549585956176;51.07;-2.0845041404382414
2019-01-03 07:00:00;50.57464050326973;52.77;-2.1953594967302763
2019-01-03 08:00:00;53.82901278164685;62.89;-9.060987218353148
2019-01-03 09:00:00;53.82786533956872;60.03;-6.202134660431284
2019-01-03 10:00:00;54.05474579770602;58.19;-4.135254202293979
2019-01-03 11:00:00;54.378383020099946;62.99;-8.611616979900056
2019-01-03 12:00:00;54.37722940767743;63.52;-9.14277059232257
2019-01-03 13:00:00;54.37607579525493;64.67;-10.293924204745075
2019-01-03 14:00:00;54.05219318103772;65.24;-11.187806818962272
2019-01-03 15:00:00;54.47909347010851;67.76;-13.280906529891496
2019-01-03 16:00:00;56.61479371411184;68.41;-11.795206285888156
2019-01-03 17:00:00;57.058853880136695;69.55;-12.491146119863302
2019-01-03 18:00:00;57.05820267566892;67.28;-10.221797324331078
2019-01-03 19:00:00;55.48389421431947;69.46;-13.976105785680524
2019-01-03 20:00:00;55.48272805995845;68.38;-12.897271940041549
2019-01-03 21:00:00;54.36684689587487;61.72;-7.353153104125127
2019-01-03 22:00:00;53.812948592552914;53.72;0.09294859255291499
2019-01-03 23:00:00;51.49655822260905;49.98;1.5165582226090564
2019-01-04 00:00:00;47.71797748143968;50.73;-3.0120225185603147
2019-01-04 01:00:00;45.34442360504626;47.11;-1.7655763949537402
2019-01-04 02:00:00;43.82780163900984;47.07;-3.242198360990159
2019-01-04 03:00:00;43.16978300018592;46.94;-3.7702169998140747
2019-01-04 04:00:00;43.15350970659323;47.0;-3.8464902934067666
2019-01-04 05:00:00;45.34019566176926;46.91;-1.569804338230739
2019-01-04 06:00:00;47.91244111686207;49.59;-1.6775588831379338
2019-01-04 07:00:00;50.54795818997218;55.32;-4.772041810027822
2019-01-04 08:00:00;51.49091182529146;55.78;-4.289088174708539
2019-01-04 09:00:00;51.49028444781173;55.52;-4.0297155521882715
2019-01-04 10:00:00;49.803886398663565;55.23;-5.426113601336432
2019-01-04 11:00:00;48.54606889254652;53.58;-5.033931107453476
2019-01-04 12:00:00;48.12771700521127;51.74;-3.6122829947887354
2019-01-04 13:00:00;47.38531964257939;51.6;-4.214680357420612
2019-01-04 14:00:00;47.7094111887821;51.41;-3.700588811217898
2019-01-04 15:00:00;47.3831631706734;51.69;-4.306836829326599
2019-01-04 16:00:00;47.3820849347204;52.59;-5.2079150652796
2019-01-04 17:00:00;48.42256541234319;54.66;-6.237434587656807
2019-01-04 18:00:00;47.29054086187009;54.1;-6.80945913812991
2019-01-04 19:00:00;45.03616473616476;51.89;-6.8538352638352436
2019-01-04 20:00:00;44.816942268105066;46.58;-1.763057731894932
2019-01-04 21:00:00;41.52414293356095;45.43;-3.9058570664390473
2019-01-04 22:00:00;39.492784123693646;43.96;-4.467215876306355
2019-01-04 23:00:00;36.51664313006697;31.41;5.106643130066967
2019-01-05 00:00:00;34.673221301074705;26.9;7.773221301074706
2019-01-05 01:00:00;33.87683719138561;25.12;8.75683719138561
2019-01-05 02:00:00;32.79954233785277;24.12;8.67954233785277
2019-01-05 03:00:00;31.43339689680153;22.04;9.39339689680153
2019-01-05 04:00:00;29.634138732759524;18.37;11.264138732759523
2019-01-05 05:00:00;32.6845984612841;22.09;10.594598461284097
2019-01-05 06:00:00;33.874038961190195;23.35;10.524038961190193
2019-01-05 07:00:00;34.66928400816456;28.76;5.909284008164558
2019-01-05 08:00:00;37.45411939270679;36.63;0.824119392706784
2019-01-05 09:00:00;39.41635234532083;40.46;-1.0436476546791695
2019-01-05 10:00:00;41.3138616140435;45.85;-4.536138385956498
2019-01-05 11:00:00;42.79467935303148;49.8;-7.005320646968514
2019-01-05 12:00:00;43.15350970659323;51.36;-8.206490293406766
2019-01-05 13:00:00;42.3309961194882;51.74;-9.409003880511804
2019-01-05 14:00:00;43.28983759609625;51.92;-8.630162403903753
2019-01-05 15:00:00;43.78926281304288;53.22;-9.430737186957117
2019-01-05 16:00:00;45.30320115809552;56.62;-11.316798841904479
2019-01-05 17:00:00;47.27650619213748;56.92;-9.64349380786252
2019-01-05 18:00:00;46.83716462231495;61.64;-14.80283537768505
2019-01-05 19:00:00;46.83609177859902;59.44;-12.603908221400978
2019-01-05 20:00:00;43.96637609803969;52.75;-8.783623901960311
2019-01-05 21:00:00;41.510038608711824;51.9;-10.389961391288175
2019-01-05 22:00:00;41.50945092850978;51.38;-9.870549071490224
2019-01-05 23:00:00;39.478283272930895;49.96;-10.481716727069106
2019-01-06 00:00:00;39.47770323890039;50.29;-10.81229676109961
2019-01-06 01:00:00;39.41635234532083;47.72;-8.303647654679168
2019-01-06 02:00:00;38.86964866252772;48.38;-9.51035133747228
2019-01-06 03:00:00;37.911317681423455;48.02;-10.108682318576548
2019-01-06 04:00:00;37.56127415169914;44.23;-6.668725848300859
2019-01-06 05:00:00;38.38704839504183;47.17;-8.782951604958171
2019-01-06 06:00:00;39.347238589615046;48.19;-8.842761410384952
2019-01-06 07:00:00;41.50416180669136;49.11;-7.605838193308642
2019-01-06 08:00:00;43.15350970659323;50.44;-7.286490293406764
2019-01-06 09:00:00;45.60769538483283;53.4;-7.792304615167168
2019-01-06 10:00:00;47.33679902469456;56.55;-9.21320097530544
2019-01-06 11:00:00;49.95782334948344;60.02;-10.062176650516562
2019-01-06 12:00:00;51.035898462599526;60.22;-9.184101537400473
2019-01-06 13:00:00;49.77224635667092;55.0;-5.2277536433290805
2019-01-06 14:00:00;50.48681122199861;52.39;-1.9031887780013932
2019-01-06 15:00:00;51.55853292527537;51.57;-0.011467074724627935
2019-01-06 16:00:00;52.64149889099879;54.71;-2.068501109001211
2019-01-06 17:00:00;53.73606997331761;63.43;-9.693930026682388
2019-01-06 18:00:00;54.28724763872192;67.37;-13.082752361278082
2019-01-06 19:00:00;54.003055310173;67.2;-13.196944689827
2019-01-06 20:00:00;52.63695770174277;66.03;-13.393042298257228
2019-01-06 21:00:00;50.187594392712604;55.36;-5.172405607287395
2019-01-06 22:00:00;48.88915848724589;58.59;-9.70084151275411
2019-01-06 23:00:00;46.29177516400772;53.7;-7.408224835992286
2019-01-07 00:00:00;43.25459465461715;46.03;-2.7754053453828504
2019-01-07 01:00:00;42.718672940110295;47.98;-5.261327059889702
2019-01-07 02:00:00;42.30913668915183;47.84;-5.530863310848176
2019-01-07 03:00:00;42.30854589373733;46.11;-3.8014541062626677
2019-01-07 04:00:00;43.75072398707591;46.08;-2.3292760129240904
2019-01-07 05:00:00;47.83549964744162;47.62;0.2154996474416251
2019-01-07 06:00:00;54.27340428965183;55.77;-1.4965957103481742
2019-01-07 07:00:00;58.80429210583653;68.61;-9.805707894163469
2019-01-07 08:00:00;61.15081802700636;74.15;-12.999181972993647
2019-01-07 09:00:00;61.14958483717148;74.93;-13.780415162828525
2019-01-07 10:00:00;61.14835164733661;73.59;-12.441648352663393
2019-01-07 11:00:00;60.55477703636623;71.23;-10.675222963633772
2019-01-07 12:00:00;57.07429396029964;68.79;-11.715706039700365
2019-01-07 13:00:00;56.50514931756011;66.75;-10.244850682439889
2019-01-07 14:00:00;58.79585380465701;62.47;-3.674146195342992
2019-01-07 15:00:00;57.070737499074674;53.25;3.8207374990746743
2019-01-07 16:00:00;55.37544185874496;53.26;2.1154418587449655
2019-01-07 17:00:00;56.50043342953639;53.42;3.0804334295363915
2019-01-07 18:00:00;54.41573481853192;47.91;6.50573481853192
2019-01-07 19:00:00;49.75363456726349;42.05;7.703634567263492
2019-01-07 20:00:00;42.240075389813;40.96;1.2800753898129997
2019-01-07 21:00:00;38.240128676843554;32.04;6.200128676843555
2019-01-07 22:00:00;35.71483180809418;20.82;14.894831808094182
2019-01-07 23:00:00;33.192924878064346;1.84;31.352924878064346
2019-01-08 00:00:00;29.14594762191051;17.94;11.205947621910507
2019-01-08 01:00:00;27.758525654851795;20.91;6.8485256548517945
2019-01-08 02:00:00;20.597633272588887;7.78;12.817633272588886
2019-01-08 03:00:00;25.957847767782997;14.33;11.627847767782997
2019-01-08 04:00:00;30.864983513187603;18.56;12.304983513187604
2019-01-08 05:00:00;33.20531239971366;18.57;14.635312399713662
2019-01-08 06:00:00;35.05038891078746;35.81;-0.759611089212541
2019-01-08 07:00:00;38.42708613454933;43.87;-5.44291386545067
2019-01-08 08:00:00;39.310436443917325;46.93;-7.619563556082674
2019-01-08 09:00:00;38.34916013473025;43.88;-5.530839865269755
2019-01-08 10:00:00;37.39560513687854;43.85;-6.454394863121465
2019-01-08 11:00:00;37.21824035691343;46.74;-9.521759643086575
2019-01-08 12:00:00;36.87608635413257;43.94;-7.06391364586743
2019-01-08 13:00:00;36.87608635413257;43.21;-6.333913645867433
2019-01-08 14:00:00;37.216522604107375;43.81;-6.593477395892627
2019-01-08 15:00:00;37.39068391511933;45.6;-8.209316084880669
